breed_specs_id,breed_id,gender,age,weight
0,58,Female,7,5
1,41,Female,14,7
2,18,Male,14,36
3,21,Female,5,39
4,34,Male,9,5
5,38,Male,10,33
6,13,Male,5,20
7,45,Female,2,22
8,31,Female,2,27
9,52,Female,9,1
10,16,Female,9,6
11,21,Female,8,28
12,15,Male,8,5
13,27,Female,1,4
14,42,Female,3,6
15,8,Female,8,8
16,36,Male,1,2
17,27,Female,2,4
18,55,Male,8,9
19,39,Female,16,12
20,43,Male,10,15
21,39,Male,5,19
22,27,Female,6,4
23,31,Male,8,17
24,56,Male,3,10
25,39,Male,4,32
26,39,Female,16,34
27,39,Male,7,43
28,13,Female,4,19
29,39,Male,3,36
30,25,Male,2,15
31,39,Female,6,32
32,27,Female,2,4
33,59,Female,7,2
34,47,Male,2,29
35,53,Female,10,3
36,30,Male,16,24
37,39,Male,1,28
38,25,Female,6,32
39,55,Female,11,11
40,47,Male,2,42
41,19,Male,11,14
42,45,Male,10,15
43,10,Female,14,18
44,37,Male,3,6
45,14,Female,7,8
46,2,Male,9,26
47,27,Male,5,4
48,61,Female,6,35
49,52,Male,14,8
50,45,Male,4,9
51,50,Female,6,9
52,26,Female,10,20
53,13,Female,6,22
54,6,Male,2,25
55,13,Female,15,15
56,17,Male,10,67
57,53,Male,4,6
58,2,Female,3,18
59,31,Female,4,30
60,39,Female,6,33
61,42,Male,7,9
62,40,Male,3,44
63,54,Male,10,5
64,59,Male,10,4
65,46,Male,8,38
66,56,Female,8,9
67,2,Male,9,19
68,19,Female,7,22
69,19,Female,5,30
70,9,Male,6,23
71,57,Female,12,5
72,2,Male,8,8
73,51,Male,1,9
74,60,Female,10,26
75,5,Male,1,10
76,52,Male,6,10
77,47,Female,1,31
78,59,Male,14,3
79,24,Female,4,5
80,59,Male,13,3
81,39,Male,8,28
82,47,Female,5,45
83,43,Male,6,17
84,50,Female,13,11
85,21,Male,8,32
86,61,Female,6,29
87,19,Mixed,10,1
88,44,Male,5,24
89,21,Female,10,31
90,27,Female,4,2
91,23,Female,4,28
92,32,Male,12,34
93,23,Female,7,24
94,40,Female,7,44
95,19,Unknown,5,14
96,15,Female,7,6
97,7,Female,4,22
98,35,Male,5,32
99,39,Female,10,40
100,39,Male,7,32
101,38,Male,10,27
102,39,Male,6,30
103,58,Male,11,8
104,27,Female,1,5
105,45,Female,2,18
106,37,Female,6,4
107,39,Male,3,9
108,39,Male,10,45
109,14,Male,5,7
110,39,Female,3,24
111,19,Female,10,14
112,0,Male,15,46
113,8,Female,6,5
114,47,Male,3,39
115,59,Male,2,2
116,7,Male,15,15
117,44,Female,13,20
118,49,Male,8,11
119,25,Male,6,38
120,39,Male,3,9
121,29,Male,11,8
122,13,Female,5,13
123,28,Female,2,48
124,58,Male,9,9
125,34,Female,12,3
126,38,Male,7,29
127,39,Female,9,39
128,44,Female,12,7
129,53,Male,8,7
130,54,Female,9,13
131,48,Female,1,3
132,48,Female,4,8
133,47,Male,5,24
134,53,Male,1,5
135,48,Female,2,3
136,41,Female,12,7
137,52,Male,5,6
138,55,Female,1,11
139,48,Female,11,2
140,47,Male,11,19
141,56,Male,8,6
142,50,Male,4,9
143,56,Male,12,8
144,13,Female,4,11
145,51,Female,6,6
146,24,Female,6,5
147,8,Female,1,6
148,13,Female,1,22
149,59,Female,3,3
150,16,Female,1,23
151,39,Male,8,39
152,39,Female,1,18
153,57,Female,9,4
154,55,Female,8,6
155,31,Female,5,24
156,44,Female,2,30
157,8,Unknown,6,18
158,39,Female,3,16
159,38,Male,3,33
160,13,Male,8,27
161,32,Female,11,26
162,21,Female,2,27
163,38,Male,2,32
164,48,Female,13,9
165,32,Male,3,27
166,51,Male,3,6
167,27,Female,3,3
168,19,Female,15,7
169,27,Female,6,3
170,39,Female,3,11
171,4,Female,9,40
172,38,Male,7,24
173,26,Female,15,17
174,39,Male,2,40
175,52,Female,9,4
176,13,Female,5,6
177,45,Female,4,31
178,37,Female,7,6
179,39,Male,1,30
180,52,Female,4,2
181,18,Female,5,34
