,species,gender,age,weight,breed,drug,outcome,date_in,react_term_code,react_term_name,first_exp_da,last_exp_da,admin_by,route,dosage_form
0,Dog,Female,10.00,5.900,Poodle (unspecified),Spinosad,Recovered/Normal,20120627,334,Vomiting,20120601,20120702,Animal Owner,Oral,"Tablet, chewable"
1,Dog,Female,7.00,5.900,Terrier - West Highland White,Spinosad,Recovered/Normal,20120627,335,Emesis,20120327,20120627,Animal Owner,Oral,"Tablet, chewable"
2,Dog,Female,14.00,7.620,Schnauzer (unspecified),Spinosad,Recovered/Normal,20110928,335,Emesis,20110923,20110923,Animal Owner,Oral,"Tablet, chewable"
3,Dog,Female,0,32.660,"['Retriever (unspecified)', 'Dog (other)']",Spinosad,Outcome Unknown,20120601,121,Agitation,20120301,20120501,Animal Owner,Oral,"Tablet, chewable"
4,Cattle,Unknown,0,249.480,Cattle (unknown),Ceftiofur,Died,20071206,842,Pneumonia,,,Unknown,Subcutaneous,Suspension
5,Horse,Male,14.00,498.950,Horse (unknown),"Ivermectin, Praziquantel",Unknown,20090410,20,Application site swelling,,,Unknown,Oral,Paste
6,Dog,Male,14.00,36.287,Doberman Pinscher,Ivermectin,Outcome Unknown,20150203,305,Digestive tract disorder NOS,20150201,20150201,Animal Owner,Oral,"Tablet, chewable"
7,Dog,Unknown,0,0,Dog (unknown),Spinosad,Unknown,20110303,2649,Lack of efficacy (ectoparasite) - flea,,,Unknown,Oral,"Tablet, chewable"
8,Dog,Female,5.00,39.460,Boxer (German Boxer),Imidacloprid,Outcome Unknown,20160420,2082,Emesis (multiple),20160420,20160420,Other,Other,Solution
9,Dog,Male,10.00,15.000,Crossbred Canine/dog,Recombinant Human Insulin,Outcome Unknown,20160630,119,Restlessness,20150425,,Animal Owner,Subcutaneous,Suspension
10,Cat,Female,3.00,3.175,"['Domestic Shorthair', 'Domestic Shorthair', 'Domestic Longhair']",Butorphanol Tartrate,Recovered/Normal,20160126,1903,Sedation prolonged,20160121,20160126,Veterinarian,Subcutaneous,Injection
11,Dog,Male,9.80,5.534,Poodle - Miniature,Ivermectin,Outcome Unknown,20150319,305,Digestive tract disorder NOS,20141201,20150301,Animal Owner,Oral,"Tablet, chewable"
12,Dog,Male,10.00,33.570,Retriever - Golden,Moxidectin,Outcome Unknown,20150612,130,Crying,20150611,20150611,Veterinarian,Subcutaneous,Suspension
13,Dog,Female,0,2.268,Maltese,Afoxolaner,Outcome Unknown,20150225,1756,Skin disorders NOS,20141104,20150213,Animal Owner,Oral,"Tablet, chewable"
14,Cat,Female,12.00,4.581,Domestic Shorthair,Buprenorphine,Recovered/Normal,20150415,1014,Hyperthermia,,,Veterinarian,Subcutaneous,"Injection, solution"
15,Dog,Female,2.00,0,"['Cattle Dog - Australian (blue heeler, red heeler, Queensland cattledog)', 'Collie - Border']",Spinosad,Outcome Unknown,20150424,1039,Lack of efficacy - NOS,20150101,20150401,Animal Owner,Oral,"Tablet, chewable"
16,Dog,Male,5.00,20.865,Crossbred Canine/dog,Ivermectin,Outcome Unknown,20150730,305,Digestive tract disorder NOS,20100101,20150701,Animal Owner,Oral,"Tablet, chewable"
17,Dog,Unknown,0,4.536,Dog (unknown),Afoxolaner,Outcome Unknown,20150512,1756,Skin disorders NOS,20150507,20150507,Animal Owner,Oral,"Tablet, chewable"
18,Cat,Unknown,0,0,Cat (unknown),Spinosad,Outcome Unknown,20150806,334,Vomiting,20150701,20150701,Animal Owner,Oral,"Tablet, chewable"
19,Cat,Female,4.00,4.082,Domestic Shorthair,Spinosad,Recovered/Normal,20150904,334,Vomiting,20150701,20150904,Animal Owner,Oral,"Tablet, chewable"
20,Dog,Female,2.00,22.680,Shepherd Dog - Australian,Nitenpyram,Ongoing,20150625,1039,Lack of efficacy - NOS,20150618,20150620,Animal Owner,Oral,Tablet
21,Dog,Female,3.00,9.890,Spaniel - Cocker English,Fluralaner Chew Tablets,Outcome Unknown,20151009,2649,Lack of efficacy (ectoparasite) - flea,20150802,20150802,Animal Owner,Oral,"Tablet, chewable"
